folder_name,file_name,joint_accuracy,slot_error_rate,slot_total_ref,slot_total_hyp,slot_f1,slot_precision,slot_recall
demos,O7BI_MW24_MP_ST_PH-nm_SO_Labse_NN-1_UA_SV.json,2.658708627238162,80.2529251861482,42305,51980,70.98478018278118,0.6437860715659857,0.791017610211557
demos,O7BI_MW24_MP_ST_PH-nm_SO_Labse_NN-3_UA_SV.json,3.431904503526812,73.51376905803096,42305,49839,72.50824795474851,0.6702782961134841,0.7896466138754266
demos,O7BI_MW24_MP_ST_PH-nm_SO_Labse_NN-5_UA_SV.json,3.6760716223548062,72.33187566481503,42305,48992,72.57193554603053,0.6761920313520561,0.7830752866091459
demos,O7BI_MW24_MP_ST_PH-nm_SO_Labse_NN-10_U_SV.json,5.208898534997217,65.19087578300437,42305,45821,76.09332092186251,0.7317387224198495,0.7925540716227377
